State,AvgAQI_o3,AvgAQI_co,AvgAQI_no2,AvgAQI_so2,AvgAQI_pm25_frm
Alabama,40.627047,6.656294,24.312312,3.221113,33.522365
Alaska,25.968872,8.488246,21.720000,14.278689,35.506787
Arizona,45.199468,6.220855,25.800968,13.342093,30.478507
Arkansas,36.004105,4.593971,17.165527,3.726776,35.687978
California,44.998341,5.226927,17.064609,1.327433,36.158898
Colorado,45.023581,5.628283,19.063400,7.557392,22.564480
Connecticut,44.979419,4.091865,23.759276,0.381136,26.899836
Delaware,38.468429,3.962963,21.746795,0.851480,31.369591
District Of Columbia,35.351351,7.288447,23.062597,1.273723,35.327869
Florida,35.474439,4.971456,13.492615,3.390915,28.052355
Georgia,42.677585,8.210926,28.123845,5.297685,35.566600
Hawaii,27.355828,6.348870,8.496255,48.298090,33.121312
Idaho,38.602851,5.002193,16.853607,4.205234,29.656618
Illinois,37.967088,3.133803,26.918613,4.517988,33.418834
Indiana,41.869133,5.500566,14.532195,4.928321,34.751642
Iowa,36.277495,2.916283,10.696078,3.041517,30.913033
Kansas,35.982034,3.725434,9.163115,1.195667,25.715071
Kentucky,40.015869,3.903527,14.948718,2.581185,33.142178
Louisiana,35.842820,5.260690,14.290455,5.868409,33.756423
Maine,32.615211,2.379468,8.998008,0.849162,22.313620
Maryland,44.103899,2.922686,20.364679,1.319018,31.993092
Massachusetts,35.462887,3.494855,16.340526,1.048997,24.670414
Michigan,40.531304,5.013984,18.340172,5.485520,31.996581
Minnesota,31.094353,3.348931,15.117811,1.563615,24.563730
Mississippi,37.820816,3.434426,12.682119,1.318306,33.247536
Missouri,40.239816,4.708920,18.451672,3.433350,32.270833
Montana,33.495551,1.258333,2.870145,2.528384,15.201923
Nebraska,35.979305,4.411279,16.853607,4.963415,27.924425
Nevada,45.065373,5.636364,29.398785,1.394700,21.775229
New Hampshire,35.168415,1.886111,16.853607,1.281388,19.624697
New Jersey,38.576951,5.021510,23.199322,0.930689,31.372061
New Mexico,44.371961,3.661538,14.693604,1.195898,29.751100
New York,36.153914,3.237873,22.000469,0.741277,27.608413
North Carolina,41.458466,5.166667,13.805273,1.224931,32.573762
North Dakota,31.350687,2.076923,5.534641,2.702883,19.914286
Ohio,42.927202,4.035074,20.978832,3.367608,34.178229
Oklahoma,38.190609,3.825694,15.535373,3.364876,31.410131
Oregon,31.082849,4.498438,18.280438,0.326761,25.094682
Pennsylvania,37.782482,3.953578,14.571502,4.522799,35.490560
Puerto Rico,13.888889,11.579773,13.068783,6.066906,27.528788
Rhode Island,39.800000,5.864754,16.982076,0.379781,27.128096
South Carolina,38.679364,3.030030,11.702026,0.387506,32.956652
South Dakota,37.686868,4.593971,16.853607,4.163645,23.838150
Tennessee,43.203110,4.065411,21.842324,9.707792,33.934347
Texas,35.615577,4.733427,14.066150,2.417386,35.009808
Utah,43.641916,6.545582,13.135697,1.815789,30.272248
Vermont,34.448378,2.387978,12.634943,0.096045,21.918854
Virgin Islands,37.686868,4.593971,16.853607,4.163645,35.769231
Virginia,39.351869,3.859642,15.307673,1.128685,28.769587
Washington,32.140448,8.413136,22.172632,4.163645,28.524540
West Virginia,39.160825,3.790170,16.853607,6.570808,33.368852
Wisconsin,39.169782,3.218056,19.150784,3.567431,27.292070
Wyoming,40.772282,1.700306,6.535723,3.195707,16.420842